ID,numAdults,numChild,grpSize,grpType,hoursPark,daysPark,local,overnight,nightsCampIn,nightsCampOut,nightsLodgeIn,nightsLodgeOut,nightsOther,tripPurpose,equallyNearby,primaryNearby,otherNPS,otherNPSunits,entries,DKentries,expLocalTotal,expGas,expRentalCar,expPubTrans,expSnacks,expGroceries,expHotels,expcamp,expRec,expSouvenirs,expEqpRental,expRail,expGuides,expOther,expOtherSpec,DKexpLocal,adultsCovered,childrenCovered,numSplit,zip
C1521,3,5,8,4,5.5,NA,0,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,2,NA,2,55555
C1522,2,1,3,4,5,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,1,NA,40,10,0,0,20,0,0,0,0,0,0,0,0,0, ,NA,2,NA,2,55555
C1525,2,0,2,3,3,NA,0,1,0,0,0,2,0,3,NA,1,0, ,2,NA,60,20,0,0,20,0,0,0,0,0,0,0,0,0, ,NA,2,1,1,55555
C1527,2,2,4,3,5,1,0,1,0,0,0,0,2,2,0,NA,1,"MOUNT RUSHMORE, YELLOWSTONE",1,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,99,NA,NA,NA,55555
C1537,2,2,4,3,1,NA,0,1,0,0,0,1,0,2,NA,0,0, ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA, 
C1576,2,1,3,3,NA,2,0,1,0,0,0,2,0,2,0,NA,1,GREAT SMOKY MOUNTAINS,1,NA,6,2.5,0,0,1,0,0,0,0,0,0,0,0,0, ,NA,1,NA,1,55555
C1586,1,2,3,3,0.75,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,1,NA,58,15,0,0,20,0,0,0,8,0,0,0,0,0, ,NA,2,NA,2,55555
C1601,1,0,1,1,4,NA,0,1,0,0,0,3,0,2,1,0,0, ,1,NA,45,0,0,0,20,0,0,0,0,0,0,0,0,25,FOOD,NA,2,NA,2,55555
C1602,2,0,2,3,4,NA,0,1,0,0,0,1,0,2,0,1,1, ,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,0,0,0,55555
C1609,2,0,2,2,3.5,NA,1,1,0,0,0,0,1,2,1,NA,0, ,1,NA,42,0,0,0,15,0,0,0,0,0,0,27,0,0, ,NA,1,2,1,55555
C1626,1,0,1,1,9,NA,NA,0,NA,NA,NA,NA,NA,2,1,1,0, ,2,NA,480,80,0,0,20,0,300,0,0,0,0,0,0,0, ,NA,2,NA,2,CANADA
C1674,1,1,2,3,4,NA,0,1,0,0,0,0,5,3,NA,1,0, ,1,NA,12,4,0,0,0,0,0,0,0,0,0,0,0,4, ,NA,1,0,1,55555
C1675,2,0,2,1,3,NA,0,1,0,0,0,0,5,NA,1,NA,0, ,NA,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,NA,NA,NA,55555
C1681,15,5,20,4,3,NA,NA,1,0,0,0,0,0,1,0,0,0, ,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,NA,NA,NA,55555
C1683,2,3,5,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,99,2,NA,NA,55555
C1684,3,3,6,3,10,NA,0,0,NA,NA,NA,NA,NA,1,NA,NA,0, ,1,NA,21,5,0,0,3,0,0,0,0,5,0,0,0,3,TIPS,NA,2,NA,0,55555
C1687,2,0,2,2,5,1,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0, ,1,NA,10,5,0,0,0,0,0,0,0,0,0,0,0,0, ,NA,2,NA,1,55555
